RUN_ID,CASE_ID,METRIC,VALUE,UNIT,PASS_FAIL,NOTES
RUN01,GRADO_GOLD_8MZ_CABLE300_SERVICE47,peak_below_50khz,10.5693746,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE300_SERVICE100,peak_below_20khz,3.21236361,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE300_SERVICE100,peak_below_50khz,10.8725034,dB,FAIL,COMPATIBILITY_NON_GATING
RUN02,LOW,gain_1khz,13.9371881,dB,PASS,
RUN02,LOW,cmrr_20khz,96.080055,dB,PASS,
RUN02,DEFAULT,gain_1khz,18.0208942,dB,PASS,
RUN02,DEFAULT,cmrr_20khz,96.080055,dB,PASS,
RUN02,HIGH,gain_1khz,21.9779594,dB,PASS,
RUN02,HIGH,cmrr_20khz,96.080055,dB,PASS,
RUN03,FLAT__FLAT,model_correlation_max_error,4.058084e-05,dB,PASS,NAMED_HISTORICAL
RUN03,FLAT__FLAT,target_max_error,2.279749e-05,dB,PASS,FLAT
RUN03,FLAT__1600_Hz,model_correlation_max_error,0.00111791066,dB,PASS,UNNAMED_ADJUSTMENT
RUN03,FLAT__2121_Hz_RIAA,model_correlation_max_error,0.00104994613,dB,PASS,UNNAMED_ADJUSTMENT
RUN03,FLAT__3400_Hz,model_correlation_max_error,0.000856255444,dB,PASS,UNNAMED_ADJUSTMENT
RUN03,FLAT__5800_Hz,model_correlation_max_error,0.000494701112,dB,PASS,UNNAMED_ADJUSTMENT
RUN03,200_Hz__FLAT,model_correlation_max_error,0.00084327868,dB,PASS,NAMED_HISTORICAL
RUN03,200_Hz__FLAT,target_max_error,0.0114581668,dB,PASS,78-200-FLAT
RUN03,200_Hz__1600_Hz,model_correlation_max_error,0.00108052593,dB,PASS,NAMED_HISTORICAL
RUN03,200_Hz__1600_Hz,target_max_error,0.0308332898,dB,PASS,78-200-1600
RUN03,200_Hz__2121_Hz_RIAA,model_correlation_max_error,0.00101854424,dB,PASS,UNNAMED_ADJUSTMENT
RUN03,200_Hz__3400_Hz,model_correlation_max_error,0.00087843477,dB,PASS,NAMED_HISTORICAL
RUN03,200_Hz__3400_Hz,target_max_error,0.0272451338,dB,PASS,78-200-3400
RUN03,200_Hz__5800_Hz,model_correlation_max_error,0.000859122588,dB,PASS,NAMED_HISTORICAL
RUN03,200_Hz__5800_Hz,target_max_error,0.0113590701,dB,PASS,78-200-5800
RUN03,400_Hz__FLAT,model_correlation_max_error,0.000895053735,dB,PASS,NAMED_HISTORICAL
RUN03,400_Hz__FLAT,target_max_error,0.00718410868,dB,PASS,78-400-FLAT
RUN03,400_Hz__1600_Hz,model_correlation_max_error,0.000993916192,dB,PASS,NAMED_HISTORICAL
RUN03,400_Hz__1600_Hz,target_max_error,0.0292039157,dB,PASS,78-400-1600
RUN03,400_Hz__2121_Hz_RIAA,model_correlation_max_error,0.00094106093,dB,PASS,UNNAMED_ADJUSTMENT
RUN03,400_Hz__3400_Hz,model_correlation_max_error,0.000909520076,dB,PASS,NAMED_HISTORICAL
RUN03,400_Hz__3400_Hz,target_max_error,0.0256384623,dB,PASS,78-400-3400
RUN03,400_Hz__5800_Hz,model_correlation_max_error,0.000899015993,dB,PASS,NAMED_HISTORICAL
RUN03,400_Hz__5800_Hz,target_max_error,0.00726885438,dB,PASS,78-400-5800
RUN03,500_Hz_78__FLAT,model_correlation_max_error,0.00087422786,dB,PASS,NAMED_HISTORICAL
RUN03,500_Hz_78__FLAT,target_max_error,0.00437418809,dB,PASS,78-500-FLAT
RUN03,500_Hz_78__1600_Hz,model_correlation_max_error,0.000958175407,dB,PASS,NAMED_HISTORICAL
RUN03,500_Hz_78__1600_Hz,target_max_error,0.0312939589,dB,PASS,78-500-1600
RUN03,500_Hz_78__2121_Hz_RIAA,model_correlation_max_error,0.000909650155,dB,PASS,UNNAMED_ADJUSTMENT
RUN03,500_Hz_78__3400_Hz,model_correlation_max_error,0.000880431101,dB,PASS,NAMED_HISTORICAL
RUN03,500_Hz_78__3400_Hz,target_max_error,0.0277389804,dB,PASS,78-500-3400
RUN03,500_Hz_78__5800_Hz,model_correlation_max_error,0.000873612225,dB,PASS,NAMED_HISTORICAL
RUN03,500_Hz_78__5800_Hz,target_max_error,0.00429235961,dB,PASS,78-500-5800
RUN03,TRUE_RIAA_3180_318_us__FLAT,model_correlation_max_error,0.0007647151,dB,PASS,UNNAMED_ADJUSTMENT
RUN03,TRUE_RIAA_3180_318_us__1600_Hz,model_correlation_max_error,0.000963757911,dB,PASS,UNNAMED_ADJUSTMENT
RUN03,TRUE_RIAA_3180_318_us__2121_Hz_RIAA,model_correlation_max_error,0.000913625827,dB,PASS,RIAA
RUN03,TRUE_RIAA_3180_318_us__2121_Hz_RIAA,target_max_error,0.00828003405,dB,PASS,RIAA
RUN03,TRUE_RIAA_3180_318_us__3400_Hz,model_correlation_max_error,0.000780189381,dB,PASS,UNNAMED_ADJUSTMENT
RUN03,TRUE_RIAA_3180_318_us__5800_Hz,model_correlation_max_error,0.000769658911,dB,PASS,UNNAMED_ADJUSTMENT
